Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review
4745,5341,58,3,84,166,63,78,2153,96,6114,3427,1197,497,1710
4430,227,58,10,39,336,31,23,1125,3184,5207,2199,1087,4283,4813
3818,3602,58,10,53,234,49,44,814,4978,3538,1030,641,122,4844
6143,4134,20,10,49,366,43,61,1902,5614,1364,2550,1152,2620,1730
6210,1293,20,10,66,72,60,65,1259,777,6191,142,6,4880,26
1303,5210,20,22,78,105,58,73,2077,4063,6141,2769,37,4862,4735
130,5557,20,19,37,187,60,83,1983,2868,32,2865,75,2166,1672
3496,2801,20,10,69,195,54,48,2051,2300,4628,3642,61,4662,1981
3376,825,20,10,68,336,55,80,150,2454,3692,3507,245,5381,3349
2560,3915,20,18,52,366,44,53,1424,5890,5563,1552,571,5142,1964
